item_id,item_name
1,"Balthazar (Evernight, #5)"
2,The Historian
3,"Drink Deep (Chicagoland Vampires, #5)"
4,"Lover at Last (Black Dagger Brotherhood, #11)"
5,"The Perfect Game (The Perfect Game, #1)"
6,"Rock Me (Ross Siblings, #2)"
7,"Unbeautifully (Undeniable, #2)"
8,The Sea of Tranquility
9,"Insurgent (Divergent, #2)"
10,Making Faces
11,"The Opportunist (Love Me with Lies, #1)"
12,"Entwined with You (Crossfire, #3)"
13,"Undeniable (Undeniable, #1)"
14,A Different Blue
15,Thou Shalt Not
16,"Fall of Night (The Morganville Vampires, #14)"
17,"Ignite Me (Shatter Me, #3)"
18,Mud Vein
19,Infinity + One
20,"Flat-Out Celeste (Flat-Out Love, #2)"
21,Clear: A Death Trippers Novel
22,"Allegiant (Divergent, #3)"
23,"The Hook Up (Game On, #1)"
24,"Filthy 2 (Filthy, #2)"
25,Ugly Love
26,"Her Perfect Game (Hot & Nerdy, #2)"
27,"Filthy 3 (Filthy, #3)"
28,James Games
29,Frisky Business
30,"One Night of Trouble (After Hours, #3)"
31,Hope Flames (Hope #1)
32,"Rules of Protection (Tangled in Texas, #1)"
33,Picture Perfect
34,Caressed by Ice (Psy-Changeling #3)
35,Rock Hard (Rock Kiss #2)
36,"My Life As a White Trash Zombie (White Trash Zombie, #1)"
37,"Quarterback Draw (Play by Play, #9)"
38,The 27 Club
39,"Frenched (Frenched, #1)"
40,"Anna and the French Kiss (Anna and the French Kiss, #1)"
41,"The Deal (Off-Campus, #1)"
42,"Searching for Beautiful (Searching For, #3)"
43,Modern Monsters
44,"Chasing River (Burying Water, #3)"
45,"Nowhere But Here (Thunder Road, #1)"
46,"Cinder (The Lunar Chronicles, #1)"
47,"The Silkworm (Cormoran Strike, #2)"
48,The Anatomical Shape of a Heart
49,Blurred Lines
50,The Girl Who Fell
51,"The Perfect Play (Play by Play, #1)"
52,"Make it Right (Bowler University, #2)"
53,"I Wish You Were Mine (Oxford, #2)"
54,Mosquitoland
55,The Distance from A to Z
56,"Maybe Someday (Maybe, #1)"
57,"Everything, Everything"
58,Roman Crazy
59,"For Better or Worse (The Wedding Belles, #2)"
60,The Hating Game
61,"To Love and to Cherish (The Wedding Belles, #3)"
62,Sweet Cheeks
63,The Thing About Love
64,"Irresistibly Yours (Oxford, #1)"
65,"Royally Screwed (Royally, #1)"
66,Walk of Shame
