item_id,genre_id
1,2|3|4
2,1|3|8
3,4|13
4,4|7
5,4
6,0|5|15
7,4|13
8,1|3
9,0
10,0|1|15
11,4|7|13
12,4|10
13,2|3
14,7
15,0|1|13
16,7|15
17,7|13
18,15
19,4
20,0
21,0|4|7
22,5|7|15
23,15
24,7|14
25,7|13
26,7
27,7
28,13
29,1|14
30,7
31,7
32,7|14
33,1|13
34,3|4|7
35,7|13
36,7
37,6
38,4
39,4|13
40,7
41,7|16
42,0|5|7
43,7
44,0|1
45,4|7
46,7|13
47,5|15
48,2|3|11|13
49,7|13
50,5|15
51,0|7|15
52,4
53,7
54,3|4
55,7
56,1|3|8
57,7
58,7|13
59,7|12
60,1|3|8
61,7|15
62,7
63,4
64,4|13
65,4
66,14|15
67,7
68,4|13
69,4
70,0|4|5|10|15
71,0
72,4|7
73,7|11
74,7|13
75,4|7
76,14|15
77,6
78,7
79,7|15
80,7
81,5|7|13
82,7
83,7
84,4|7
85,7|13
86,1|7
87,3|4
88,4
89,0|15
90,7
91,7|15
92,4|13
93,7
94,0|15
95,4
96,7
97,0|15
98,6
99,7|15
100,4
101,4
102,15
103,4
104,7|13
105,4|7
106,1|3|4|11
107,6
108,4
109,0|7|16
110,7|15
111,0|1|5
112,7|12
113,7
114,4
115,6
116,5
117,4|13
118,4
119,7
120,7
121,4|13
122,7|12|13
123,7
124,4
125,1|3|8
126,7
127,6
128,4|13
129,7
130,7|13
131,15
132,4|7
133,6
134,4
135,6
136,6
137,7
138,0|7
139,7|13
140,4
141,7
142,7
143,4
144,0
145,1|3
146,7
147,7
148,5|7|15
149,7
150,7|13|16
151,10
152,0|1|4|5
153,7
154,7|16
155,4
156,4|16
157,1|3
158,7
159,0|1|12|14
160,7|15|16
161,6
162,0|13|15
163,5|9|12|15
164,0|15
165,4|7
166,7
167,0|1|7|13
168,1|3|7
169,0|5|15
170,4
171,0|14|15
172,0|1|14
173,4
174,7
175,4
176,10
177,4
178,7|13
179,4
180,0|3
181,7|13
182,15
183,7
184,14|15
185,4
186,4
187,10
188,4
189,15
190,7
191,6
192,7
193,7
194,4|7|13
195,10|14
196,7
197,0|5|14
198,7|11
199,15
200,7
201,7|13
202,4
203,0
204,4|7
205,6
206,7|13
207,0|1
208,7
209,17
210,7
211,4
212,7
213,7
214,7|13
215,4
216,7|15
217,4|7
218,7
219,10
220,7|13
221,4
222,4|7|13
223,7|15
224,15
225,0
226,4
227,7|15
228,7|15
229,4
230,4|7
231,7
232,4
233,4|7
234,4|13
235,4|13
236,1|3
237,2|3|4|13
238,15
239,3|7
240,7|11
241,4
242,2|3
243,5|7
244,6
245,7|8|13|15
246,4
247,7|13
248,3|4
249,0
250,4|13
251,7|10
252,7
253,4
254,4|14
255,12|15
256,1|3|4|8|13
257,5|7|15
258,0|1|8|14
259,7
260,3|7
261,7
262,7
263,7|13
264,7|13|16|17
265,4
266,7
267,7
268,7|13
269,7
270,7
271,7|10
272,4
273,4
274,4|13
275,7
276,4
277,7
278,7|15
279,7
280,7
281,5|7
282,0|5
283,7|10
284,0|14|15
285,4|13
286,0|15
287,4|13
288,5|7
289,15
290,0|7|15
291,5|7|13|15
292,4|13
293,4|13
294,5|7
295,7
296,4
297,7
298,7
299,7|13
300,7|13
301,0|1|17
302,4|7
303,4
304,7
305,7
306,7
307,7
308,4
309,10|15
310,4
311,2|3
312,7
313,0
314,0|1|14
315,3|4|8
316,7
317,15
318,9|15
319,7
320,4|7
321,4
322,4
323,7
324,0|4|11|14
325,10
326,0|1|14
327,4|10
328,7
329,10|14
330,4
331,7
332,12|15
333,7|16
334,7
335,14|15
336,4|13
337,1|7
338,7
339,4|13
340,3
341,4
342,4|7
343,7|11
344,7
345,4
346,0|1|15
347,7|12|15
348,4|7|13
349,4
350,0|13|15
351,7
352,3|4
353,4|13|16
354,4|13
355,7
356,4|7|13
357,0|4
358,7|13
359,1|3|13
360,6
361,2|3|11
362,7
363,10
364,4|5|8
365,0|4|17
366,7
367,4
368,4|7
369,4|7
370,15
371,3|4
372,7
373,0|15
374,0|13|15
375,4|13
376,0|14
377,0|1|4|13
378,7
379,7|10
380,17
381,0
382,7
383,7
384,0|4
385,7
386,7|13|16
387,0|4|7
388,5|7
389,1|3
