item_id,genre_id
1,9|10|13|15
2,13
3,1|9|10|11
4,1|2
5,1|7|9
6,7|10|13|15
7,1|7|9
8,1|2|10
9,1|13
10,1
11,5|10
12,18
13,1|10|18
14,1
15,1|10|18
16,1|15|18
17,10|15|18
18,1|9|10
19,1|2|10|13
20,1
21,1|9
22,1
23,9|13|15
24,1|10|15
25,1|10|14|15|17
26,11|14|15|17
27,14|15|17
28,1|2|7|10|13
29,1|7|10|14|15|17
30,1
31,1
32,1|9|10
33,1|9|10
34,1|10
35,1|15|18
36,1|15
37,1|2|10
38,1|13
39,1|10
40,1|13|15
41,1|2
42,10|15
43,2
44,10|15|18
45,15|18
46,2|10
47,1|7|10|13|15
48,18
49,13|15|18
50,10|18
51,1|13|18
52,2|10
53,5|7|10|15|18
54,1
55,10
56,1|2|10|18
57,15|18
58,10|15|18
59,1|2
60,3|6|7|19
61,18
62,15|18
63,1|10|18
64,18
65,1|13
66,7|13|15|18
67,1|2
68,1|10
69,1|2
70,2|5|9|11|13
71,1|9|11
72,5|10
73,1|2|7|10|11|13|15|18
74,1|2|7|11
75,1|10|17
76,9|15
77,1|2|10|13
78,1|10
79,15|18
80,14
81,1|2
82,1|2|10|15
83,1|2
84,1|2
85,1|11|14
86,2|7|10|13
87,1|10
88,2|5|9|10|13|15|18
89,1|10
90,1|2
91,10|15|18
92,9|10|13|15
93,1|2
94,1|9
95,7|10|15
96,7|10|15|18
97,1|5|7|10
98,1|2|10
99,1|2|10
100,1|10
101,10|15|18
102,1|9|10
103,9|11|13
104,1
105,1|5|10|14|17
106,1|9|10
107,10|13
108,1|2|5|9|11|13
109,13
110,9|11|13|18
111,1|2
112,1|13
113,1|10
114,1|9
115,1|10
116,1
117,2|9|10|11
118,1|2
119,1|13
120,1
121,1|13
122,1|2
123,1
124,1|10|18
125,1|13
126,1
127,1|9|10|17|18
128,1
129,1|2|9|10
130,2|10|13
131,1|10|18
132,10|15
133,1|9
134,1|2|9|10|11|13
135,10|18
136,13
137,1|2
138,13|18
139,13|15|18
140,1|2|7|10|11|13
141,17
142,7|10|15|18
143,1|9|15|18
144,1
145,18
146,2|10|15
147,5|7|10|17
148,5|10
149,1|2
150,1|5|10
151,5|9|10
152,1
153,1|2
154,15|18
155,2|10|13|18
156,1
157,13
158,1|10|18
159,1|2
160,1|5|10
161,1|2
162,1|10|15
163,2|10
164,1
165,1|9|11
166,1|2
167,2
168,1
169,1
170,1|13
171,1
172,1
173,1|10|18
174,1
175,1|10
176,2|10|13
177,1|9|10|18
178,1|2|10
179,1|10|13
180,1|9
181,1|9
182,1|10
183,1|9
184,2|10
185,1
186,1|2|5|10
187,1|9
188,9|11|13|18
189,1|2
190,9|18
191,1|2|10
192,10|15
193,2|10|13|18
194,1|13
195,1|2|5|10|15
196,1|2
197,2|10|13|18
198,1
199,1|2|13
200,1|13
201,1
202,1|7|9|10
203,9|11|18
204,2|9
205,1|7|9|10|11|13
206,1|9|10
207,7|9|11|13|18
208,9|11|13
209,1|10|18
210,1|2|10
211,2|10|13
212,15
213,2|10|13|15
214,10|15|18
215,2|10
216,18
217,1|2|9|11|13
218,1
219,1|9|10|18
220,1
221,1|9|10|11|13
222,1|2|10
223,5|10
224,1|2|5|10
225,1|2
226,1|2
227,1
228,1|2
229,2
230,1|2|10
231,1|2
232,1|2
233,1|2|10|13
234,1|10
